序号	分类	发博用户	内容摘要	原始URL	Excel标注mid	库mid	匹配状态	库表	库id	customer_id	super_task_id	level	level_time	同mid库内行数
1	认知层-生活记录情绪共鸣类	firefly萤火虫	firefly萤火虫5万台交付里程碑庆祝	http://weibo.com/7954624470/QyrZlCxRT		5282107439186657	命中	nature_ad_super_mid_1	69	2608812381	1302305683722469377	1	2026-09-07 11:39:59	2
2	认知层-生活记录情绪共鸣类	firefly萤火虫	firefly萤火虫答网友问互动栏目	http://weibo.com/7954624470/Qy0uPgCHv		5281050633962017	命中	nature_ad_super_mid_1	70	2608812381	1302305683722469377	1	2026-09-07 11:40:32	2
3	认知层-功能解读类	加电的沈斐	新能源电池新规下乐道换电优势解读	http://weibo.com/6995454758/QyFr12zZS		5282624310615032	命中	nature_ad_super_mid_1	68	2608812381	1302298171447181312	0	2023-01-01 00:00:01	5
4	兴趣层-KOL对比/评测内容	胡永平	百万公里蔚来ES6拆车实测	http://weibo.com/1168377245/QxI9GfybM		5280345603706346	命中	nature_ad_super_mid_1	72	2608812381	1302305683722469377	2	2026-09-07 11:40:50	2
5	兴趣层-KOL对比/评测内容	酷玩实验室	百万公里ES6车况深度评测	http://weibo.com/5360078827/Qy1HmFLch		5281096849952877	命中	nature_ad_super_mid_1	73	2608812381	1302305683722469377	2	2026-09-07 11:40:53	2
6	兴趣层-KOL对比/评测内容	高转青年-魏sir	百万公里ES6现场拆解评测	http://weibo.com/2860427934/Qy2sgr0NW		5281125926437952	命中	nature_ad_super_mid_1	74	2608812381	1302305683722469377	2	2026-09-07 11:40:59	4
7	兴趣层-KOL对比/评测内容	二师兄玩车	神玑芯片VS算力内卷横评	http://weibo.com/7808267507/QyDXd6uHA		5282567391547990	命中	nature_ad_super_mid_1	75	2608812381	1302305683722469377	1	2026-09-07 11:41:02	2
8	认知层-功能解读类	张抗抗KK	线控转向技术点解析，ET9量产落地	http://weibo.com/1421019895/QyweS2Vlw		5282270820697098	命中	nature_ad_super_mid_1	76	2608812381	1302305683722469377	1	2026-09-07 11:41:04	2
9	认知层-功能解读类	汽车系超老师	芯片算力误区解读，功耗与底层架构才是关键	http://weibo.com/1303012307/Qy4eUysJD		5281194528213613	命中	nature_ad_super_mid_1	77	2608812381	1302305683722469377	1	2026-09-07 11:41:05	4
10	认知层-功能解读类	EV车世界	线控转向科普：优势与安全冗余	http://weibo.com/6393044531/QyjHDcexB		5281788932915835	命中	nature_ad_super_mid_1	78	2608812381	1302305683722469377	1	2026-09-07 11:41:10	4
